Run 1,, ,run 2,,,run 3 ,,changed detectors,run 1 - H2 D2,,,run 2,,,run 3 ,,,run 1 - h2,,,run 2,,,run 3,,,run 1 with filter,dummy data,,run 2 with nd 1 absorptive filter,broad band anti reflective coating 350 - 700 nm,,run 3 with filter,,,run 4,
wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts),,wavelength (nm),intensity (counts)
344.84,-140.5,,344.84,-140.11,,`,-139.72,,629.67,-26.38,,629.67,-36.23,,629.67,-13.77,,629.67,-55.15,,629.67,-58.77,,629.67,-37.62,,629.67,-52.77,,629.67,-48.92,,629.67,-14.62,,629.67,-20.38
345.07,2.5,,345.07,2.89,,345.07,3.28,,629.68,-26.38,,629.68,-36.23,,629.68,-13.77,,629.68,-55.15,,629.68,-58.77,,629.68,-37.62,,629.68,-52.77,,629.68,-48.92,,629.68,-14.62,,629.68,-20.38
345.3,4.5,,345.3,3.89,,345.3,1.28,,629.7,-26.38,,629.7,-36.23,,629.7,-13.77,,629.7,-55.15,,629.7,-58.77,,629.7,-37.62,,629.7,-52.77,,629.7,-48.92,,629.7,-14.62,,629.7,-20.38
345.53,5.5,,345.53,2.89,,345.53,4.28,,629.72,-32.38,,629.72,-48.23,,629.72,-40.77,,629.72,-48.15,,629.72,-42.77,,629.72,-43.62,,629.72,-44.77,,629.72,-70.92,,629.72,-57.62,,629.72,-52.38
345.75,6.5,,345.75,10.89,,345.75,5.28,,629.74,-26.38,,629.74,-40.23,,629.74,-43.77,,629.74,-35.15,,629.74,-35.77,,629.74,-38.62,,629.74,-32.77,,629.74,-48.92,,629.74,-42.62,,629.74,-34.38
345.98,6.5,,345.98,9.89,,345.98,5.28,,629.76,1.62,,629.76,-8.23,,629.76,-10.77,,629.76,-5.15,,629.76,-4.77,,629.76,-11.62,,629.76,6.23,,629.76,-8.92,,629.76,-8.62,,629.76,5.62
346.21,5.5,,346.21,4.89,,346.21,5.28,,629.78,-8.38,,629.78,-5.23,,629.78,1.23,,629.78,2.85,,629.78,-0.77,,629.78,9.38,,629.78,-4.77,,629.78,7.08,,629.78,-5.62,,629.78,3.62
346.44,9.5,,346.44,4.89,,346.44,8.28,,629.79,8.62,,629.79,-2.23,,629.79,15.23,,629.79,6.85,,629.79,17.23,,629.79,10.38,,629.79,8.23,,629.79,16.08,,629.79,18.38,,629.79,12.62
346.67,8.5,,346.67,11.89,,346.67,12.28,,629.81,12.62,,629.81,7.77,,629.81,-0.77,,629.81,1.85,,629.81,15.23,,629.81,9.38,,629.81,3.23,,629.81,4.08,,629.81,1.38,,629.81,3.62
346.89,11.5,,346.89,7.89,,346.89,10.28,,629.83,-6.38,,629.83,5.77,,629.83,-4.77,,629.83,-2.15,,629.83,-0.77,,629.83,-6.62,,629.83,-2.77,,629.83,2.08,,629.83,0.38,,629.83,-17.38
